title,Acronym,Source,Rank,DBLP,hasData?,Primary FoR,Comments,Average Rating,core_id,n
International Conference on Adaptive and Natural Computing Algorithms,ICANNGA,CORE2018,C,none,No,801,0,N/A,1011,2
International Conference on Artificial Neural Networks and Genetic Algorithms,ICANNGA,CORE2018,C,none,No,,0,N/A,1050,2
IEEE International Conference on Cognitive Informatics,ICCI,CORE2021,C,view,No,4602,0,N/A,722,2
International Conference on Computing and Information,ICCI,CORE2018,B,none,No,,0,N/A,1109,2
International Conference on Computational Science,ICCS,CORE2021,A,view,Yes,4601,3,5.0,1089,2
International Conference on Conceptual Structures,ICCS,CORE2021,B,view,No,4613,0,N/A,1112,2
International Conference on Communication Systems and Applications,ICCSA,CORE2021,C,none,No,4606,0,N/A,1069,2
International Conference on Computational Science and its Applications,ICCSA,CORE2021,C,view,No,46,0,N/A,1090,2
International Conference on Computational Engineering Science,ICES,CORE2018,C,none,No,802,1,N/A,1080,2
International Conference on Environmental Systems,ICES,ERA2010,A,none,No,1202,0,N/A,1168,2
International Conference on Information and Communications Security,ICICS,CORE2021,B,view,No,4604,2,N/A,1224,2
"International Conference on Information, Communications and Signal Processing",ICICS,CORE2018,B,none,No,806,0,N/A,1247,2
International Conference on Multimedia,ICMR,CORE2014,B,none,Yes,803,0,N/A,1317,2
International Conference on Multimedia Retrieval (previously MIR),ICMR,CORE2021,B,view,Yes,4603,0,N/A,1319,2
"Canadian Society for Civil Engineering, International Construction Specialty Conference",ICSC,ERA2010,C,none,No,905,0,N/A,326,2
International Computer Science Conference,ICSC,CORE2018,B,none,No,8,0,N/A,987,2
IEEE International Conference on Signal Processing and Communication,ICSPC,ERA2010,C,none,No,1005,0,N/A,777,2
International Conference on Security in Pervasive Computing,ICSPC,CORE2018,A,none,No,806,0,N/A,1381,2
International Conference on Computer Vision Systems,ICVS,CORE2021,C,view,No,4603,0,N/A,1101,2
International Conference on Virtual Storytelling (merged into ICIDS in 2008),ICVS,ERA2010,C,none,No,899,1,N/A,1454,2
Interactive Entertainment,IE,CORE2021,Australasian C,none,No,4607,0,N/A,968,2
The International Conference on Intelligent Environments,IE,CORE2021,B,view,Yes,4602,0,N/A,2060,2
International Conference on Applications of Prolog (no information after 2013),INAP,CORE2014,C,none,No,,0,N/A,1039,2
International Conference on Declarative Programming and Knowledge Management (no information after 2013),INAP,CORE2014,C,none,No,802,0,N/A,1133,2
Annual Conference of the International Speech Communication Association (was Eurospeech),Interspeech,CORE2014,A,none,No,801,0,N/A,129,2
Interspeech (combined EuroSpeech and ICSLP in 2000),Interspeech,CORE2021,A,view,No,4602,0,N/A,1770,2
Infrastructure and Environment (International Postgraduate Conference),IPC,ERA2010,B,none,No,1202,0,N/A,948,2
International Conference on Intelligent Pervasive Computing,IPC,CORE2018,C,none,No,805,0,N/A,1254,2
Automation and Robotics International Symposium,ISARC,ERA2010,B,none,No,10,0,N/A,301,2
International Symposium on Automation and Robotics in Construction,ISARC,CORE2021,C,none,No,4602,0,N/A,1563,2
Australian Information Security Management Conference,ISM,CORE2018,Australasian,none,Yes,804,0,N/A,276,2
IEEE International Symposium on Multimedia,ISM,CORE2021,C,view,No,4603,0,N/A,807,2
International Symposium on Mathematical Morphology,ISMM,CORE2018,B,none,No,801,0,N/A,1607,2
International Symposium on Memory Management,ISMM,CORE2021,C,view,Yes,4606,0,N/A,1608,2
IEEE International Symposium on Wearable Computers,ISWC,CORE2021,Journal Published,none,Yes,4608,0,N/A,816,2
International Semantic Web Conference,ISWC,CORE2021,A,view,Yes,4605,5,4.6,1542,2
IEEE International Test Conference,ITC,CORE2018,B,none,No,1005,0,N/A,818,2
International Teletraffic Congress,ITC,CORE2021,Unranked,view,Yes,4606,0,N/A,1648,2
ACM Symposium on Applied Computing,SAC,CORE2021,Multiconference,view,No,4601,0,N/A,66,2
Selected Areas in Cryptography,SAC,CORE2021,B,view,Yes,4604,0,N/A,1962,2
"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",SC,CORE2021,A,view,No,4606,0,N/A,998,2
International Conference on Software Composition,SC,CORE2018,B,none,No,803,0,N/A,1394,2
IEEE International Conference on Services Computing,SCC,CORE2021,B,view,Yes,4606,0,N/A,776,2
Southern Conference on Computing,SCC,ERA2010,C,none,Yes,802,0,N/A,1996,2
IASTED International Conference on Software Engineering,SE,CORE2014,C,none,Yes,,0,N/A,656,2
International IEEE Workshop on Software Evolvability,SE,CORE2018,C,none,No,803,0,N/A,1507,2
IASTED International Conference on Software Engineering and Applications,SEA,CORE2014,C,none,Yes,,0,N/A,657,2
International Symposium on Experimental Algorithms,SEA,CORE2021,B,view,No,4613,0,N/A,1585,2
ACM SIGCHI_NZ Conference on Human-Computer Interaction,SIGCHI-NZ,CORE2018,Australasian,none,No,806,0,N/A,47,2
International NZ Conference on Computer-Human Interaction,SIGCHI-NZ,CORE2017,Australasian,none,No,,0,N/A,1532,2
International Visualization in Transportation Symposium,TRB,CORE2021,National: USA,none,No,4608,0,N/A,1652,2
Transportation Research Board (USA) Annual Meeting,TRB,ERA2010,A,none,No,1205,0,N/A,2080,2
International Workshop on Coding and Cryptography,WCC,CORE2020,B,view,No,4604,0,N/A,1673,2
World Computer Congress,WCC,CORE2018,C,none,No,8,0,N/A,2195,2
Conference on Agile Software Development,XP,CORE2021,B,view,No,4612,0,N/A,378,2
"International Conference on Agile Software Development (chnaged in 2010, was International Conference on extreme Programming and Flexible Processes in Software Engineering)",XP,CORE2018,B,none,No,803,0,N/A,1031,2
